"","pp_no","condition","bin","bin_no","trial","muscle","rms"
"185","pp1","stimtype2","bin_4",4,"trial1","brow",2.0835
"186","pp1","stimtype2","bin_4",4,"trial1","cheek",8.092
"187","pp1","stimtype2","bin_5",5,"trial1","brow",2.3189
"188","pp1","stimtype2","bin_5",5,"trial1","cheek",4.8162
"189","pp1","stimtype2","bin_6",6,"trial1","brow",1.4961
"190","pp1","stimtype2","bin_6",6,"trial1","cheek",7.2827
"191","pp1","stimtype2","bin_7",7,"trial1","brow",3.046
"192","pp1","stimtype2","bin_7",7,"trial1","cheek",5.5897
"193","pp1","stimtype2","bin_8",8,"trial1","brow",2.6225
"194","pp1","stimtype2","bin_8",8,"trial1","cheek",9.1991
"195","pp1","stimtype2","bin_9",9,"trial1","brow",2.4424
"196","pp1","stimtype2","bin_9",9,"trial1","cheek",7.69
"197","pp1","stimtype2","bin_10",10,"trial1","brow",2.9982
"198","pp1","stimtype2","bin_10",10,"trial1","cheek",9.7438
"199","pp1","stimtype2","bin_0",0,"trial2","brow",3.4935
"200","pp1","stimtype2","bin_0",0,"trial2","cheek",9.3559
"201","pp1","stimtype2","bin_1",1,"trial2","brow",2.3671
"202","pp1","stimtype2","bin_1",1,"trial2","cheek",6.2073
"203","pp1","stimtype2","bin_2",2,"trial2","brow",2.0011
"204","pp1","stimtype2","bin_2",2,"trial2","cheek",7.7098
"205","pp1","stimtype2","bin_3",3,"trial2","brow",1.8453
"206","pp1","stimtype2","bin_3",3,"trial2","cheek",5.8751
"207","pp1","stimtype2","bin_4",4,"trial2","brow",1.5088
"208","pp1","stimtype2","bin_4",4,"trial2","cheek",6.1525
"209","pp1","stimtype2","bin_5",5,"trial2","brow",1.3614
"210","pp1","stimtype2","bin_5",5,"trial2","cheek",6.5644
"211","pp1","stimtype2","bin_6",6,"trial2","brow",1.1032
"212","pp1","stimtype2","bin_6",6,"trial2","cheek",5.1943
"213","pp1","stimtype2","bin_7",7,"trial2","brow",2.1788
"214","pp1","stimtype2","bin_7",7,"trial2","cheek",8.0046
"215","pp1","stimtype2","bin_8",8,"trial2","brow",6.6651
"216","pp1","stimtype2","bin_8",8,"trial2","cheek",9.1362
"217","pp1","stimtype2","bin_9",9,"trial2","brow",1.3153
"218","pp1","stimtype2","bin_9",9,"trial2","cheek",6.8837
"219","pp1","stimtype2","bin_10",10,"trial2","brow",2.2641
"220","pp1","stimtype2","bin_10",10,"trial2","cheek",9.9101
"221","pp1","stimtype2","bin_0",0,"trial3","brow",2.1098
"222","pp1","stimtype2","bin_0",0,"trial3","cheek",8.2165
"223","pp1","stimtype2","bin_1",1,"trial3","brow",1.5736
"224","pp1","stimtype2","bin_1",1,"trial3","cheek",6.9699
"225","pp1","stimtype2","bin_2",2,"trial3","brow",1.8841
"226","pp1","stimtype2","bin_2",2,"trial3","cheek",7.0419
"227","pp1","stimtype2","bin_3",3,"trial3","brow",2.9394
"228","pp1","stimtype2","bin_3",3,"trial3","cheek",6.8219
"229","pp1","stimtype2","bin_4",4,"trial3","brow",1.599
"230","pp1","stimtype2","bin_4",4,"trial3","cheek",6.5244
"231","pp1","stimtype2","bin_5",5,"trial3","brow",1.3691
"232","pp1","stimtype2","bin_5",5,"trial3","cheek",4.8966
"233","pp1","stimtype2","bin_6",6,"trial3","brow",2.3089
"234","pp1","stimtype2","bin_6",6,"trial3","cheek",7.7134
"235","pp1","stimtype2","bin_7",7,"trial3","brow",2.1216
"236","pp1","stimtype2","bin_7",7,"trial3","cheek",10.0442
"237","pp1","stimtype2","bin_8",8,"trial3","brow",2.6771
"238","pp1","stimtype2","bin_8",8,"trial3","cheek",8.486
"239","pp1","stimtype2","bin_9",9,"trial3","brow",0.9923
"240","pp1","stimtype2","bin_9",9,"trial3","cheek",7.7386
"241","pp1","stimtype2","bin_10",10,"trial3","brow",2.3431
"242","pp1","stimtype2","bin_10",10,"trial3","cheek",8.5874
"243","pp1","stimtype2","bin_0",0,"trial4","brow",5.3609
"244","pp1","stimtype2","bin_0",0,"trial4","cheek",24.2823
"245","pp1","stimtype2","bin_1",1,"trial4","brow",4.1012
"246","pp1","stimtype2","bin_1",1,"trial4","cheek",19.5765
"247","pp1","stimtype2","bin_2",2,"trial4","brow",2.9754
"248","pp1","stimtype2","bin_2",2,"trial4","cheek",22.0574
"249","pp1","stimtype2","bin_3",3,"trial4","brow",12.3013
"250","pp1","stimtype2","bin_3",3,"trial4","cheek",42.5041
"251","pp1","stimtype2","bin_4",4,"trial4","brow",7.3889
"252","pp1","stimtype2","bin_4",4,"trial4","cheek",30.1622
"253","pp1","stimtype2","bin_5",5,"trial4","brow",5.3314
"254","pp1","stimtype2","bin_5",5,"trial4","cheek",20.0149
"255","pp1","stimtype2","bin_6",6,"trial4","brow",5.0539
"256","pp1","stimtype2","bin_6",6,"trial4","cheek",14.0763
"257","pp1","stimtype2","bin_7",7,"trial4","brow",2.5517
"258","pp1","stimtype2","bin_7",7,"trial4","cheek",22.2512
"259","pp1","stimtype2","bin_8",8,"trial4","brow",4.012
"260","pp1","stimtype2","bin_8",8,"trial4","cheek",18.8348
"261","pp1","stimtype2","bin_9",9,"trial4","brow",2.4722
"262","pp1","stimtype2","bin_9",9,"trial4","cheek",9.5626
"263","pp1","stimtype2","bin_10",10,"trial4","brow",2.9405
"264","pp1","stimtype2","bin_10",10,"trial4","cheek",14.0839
"265","pp1","stimtype2","bin_0",0,"trial5","brow",5.2593
"266","pp1","stimtype2","bin_0",0,"trial5","cheek",8.041
"267","pp1","stimtype2","bin_1",1,"trial5","brow",4.6955
"268","pp1","stimtype2","bin_1",1,"trial5","cheek",9.0803
"269","pp1","stimtype2","bin_2",2,"trial5","brow",3.6083
"270","pp1","stimtype2","bin_2",2,"trial5","cheek",6.7385
"271","pp1","stimtype2","bin_3",3,"trial5","brow",2.28
"272","pp1","stimtype2","bin_3",3,"trial5","cheek",5.2921
"273","pp1","stimtype2","bin_4",4,"trial5","brow",2.964
"274","pp1","stimtype2","bin_4",4,"trial5","cheek",6.6025
"275","pp1","stimtype2","bin_5",5,"trial5","brow",2.965
"276","pp1","stimtype2","bin_5",5,"trial5","cheek",5.8825
